cfg,seed,w_xgb,macro_f1,micro_f1,accuracy,n_test,label
A6,303,0.6000000000000001,0.604632678676406,0.6318223866790009,0.6318223866790009,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,303,0.0,0.587616700490844,0.6142460684551342,0.6142460684551342,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,303,1.0,0.5729099314849316,0.5957446808510638,0.5957446808510638,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,404,0.0,0.5995897203067999,0.6429232192414431,0.6429232192414431,1081,A0  base: LR on raw embeddings
A1,404,0.0,0.5507700298968604,0.5938945420906568,0.5938945420906568,1081,A1  + StandardScaler
A2,404,0.0,0.5858428713264099,0.6234967622571693,0.6234967622571693,1081,A2  + PCA (95% variance)
A3,404,1.0,0.5458547778202861,0.5957446808510638,0.5957446808510638,1081,A3  XGBoost replaces LR
A4,404,1.0,0.5676293160401483,0.5874190564292322,0.5874190564292322,1081,A4  + cost-sensitive weighting
A5,404,0.7000000000000001,0.6074836897326505,0.6345975948196114,0.6345975948196114,1081,A5  + hybrid ensemble XGB+LR
A6,404,0.7000000000000001,0.6074836897326505,0.6345975948196114,0.6345975948196114,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,404,0.0,0.588122122669321,0.6142460684551342,0.6142460684551342,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,404,1.0,0.5676293160401483,0.5874190564292322,0.5874190564292322,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,505,0.0,0.6178889410814528,0.6577243293246994,0.6577243293246994,1081,A0  base: LR on raw embeddings
A1,505,0.0,0.5615643198838803,0.5966697502312673,0.5966697502312673,1081,A1  + StandardScaler
A2,505,0.0,0.6047678346807641,0.6438482886216467,0.6438482886216467,1081,A2  + PCA (95% variance)
A3,505,1.0,0.5650052112994064,0.6133209990749307,0.6133209990749307,1081,A3  XGBoost replaces LR
A4,505,1.0,0.5897708193673441,0.6123959296947271,0.6123959296947271,1081,A4  + cost-sensitive weighting
A5,505,0.7000000000000001,0.63584234263307,0.6595744680851063,0.6595744680851063,1081,A5  + hybrid ensemble XGB+LR
A6,505,0.7000000000000001,0.63584234263307,0.6595744680851063,0.6595744680851063,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,505,0.0,0.6105971996593003,0.6382978723404256,0.6382978723404256,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,505,1.0,0.5897708193673441,0.6123959296947271,0.6123959296947271,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,606,0.0,0.5984038665489954,0.6475485661424607,0.6475485661424607,1081,A0  base: LR on raw embeddings
A1,606,0.0,0.5449587660295727,0.5883441258094357,0.5883441258094357,1081,A1  + StandardScaler
A2,606,0.0,0.5942030533118274,0.6392229417206291,0.6392229417206291,1081,A2  + PCA (95% variance)
A3,606,1.0,0.5383549324611525,0.5929694727104533,0.5929694727104533,1081,A3  XGBoost replaces LR
A4,606,1.0,0.5555529182579898,0.5809435707678076,0.5809435707678076,1081,A4  + cost-sensitive weighting
A5,606,0.55,0.6072782894992923,0.6345975948196114,0.6345975948196114,1081,A5  + hybrid ensemble XGB+LR
A6,606,0.55,0.6034874418657228,0.6318223866790009,0.6318223866790009,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,606,0.0,0.6075326559282683,0.6345975948196114,0.6345975948196114,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,606,1.0,0.5555529182579898,0.5809435707678076,0.5809435707678076,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
