cfg,seed,setting,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind
ME-XBAL+XGB,404,S2,0.3187637896615955,0.46382189239332094,151,0.32864552284421134,0.5038167938931297,156
XLM-R Hybrid,404,S2,0.30602632619581777,0.4675834970530452,151,0.2976931885465355,0.4758220502901354,156
XLM-R LR,404,S2,0.2957114120520086,0.41975308641975306,151,0.28703692281822707,0.44672131147540983,156
XLM-R XGB,404,S2,0.2857078651639719,0.4410058027079304,151,0.26726914666425144,0.45384615384615384,156
IndoBERT LR,404,S2,0.3205314872529477,0.4077328646748682,151,0.3360482148674266,0.4690909090909091,156
IndoBERT XGB,404,S2,0.3097934367034834,0.4749536178107607,151,0.2981713063886417,0.49823321554770317,156
IndoBERT Hybrid,404,S2,0.3354707480034622,0.48175182481751827,151,0.3113172769997159,0.4973730297723292,156
ME-XBAL,505,S2,0.3742658983519198,0.4810126582278481,151,0.3754458201034554,0.5089605734767025,156
ME-XBAL+XGB,505,S2,0.4167400741935747,0.49584026622296173,151,0.38987739440597385,0.5125628140703518,156
XLM-R Hybrid,505,S2,0.3411266933927819,0.46502835538752363,151,0.337817885855269,0.49070631970260226,156
XLM-R LR,505,S2,0.3719782474049808,0.4538152610441767,151,0.3546538791381124,0.4788135593220339,156
XLM-R XGB,505,S2,0.2947854827165172,0.46153846153846156,151,0.3080996238966585,0.5027124773960217,156
IndoBERT LR,505,S2,0.32209573995304003,0.4020100502512563,151,0.33125210314041004,0.44770642201834865,156
IndoBERT XGB,505,S2,0.3139317278273993,0.4355108877721943,151,0.29950583338869935,0.4899328859060403,156
IndoBERT Hybrid,505,S2,0.3467464142308117,0.4213938411669368,151,0.3323105366489341,0.4610051993067591,156
ME-XBAL,606,S2,0.2903821909085067,0.40165631469979296,151,0.33118659972034853,0.5010438413361169,156
ME-XBAL+XGB,606,S2,0.29367841762390756,0.44889779559118237,151,0.29751844812639855,0.4872881355932203,156
XLM-R Hybrid,606,S2,0.2569849437494742,0.39555555555555555,151,0.2865286619469758,0.46956521739130436,156
XLM-R LR,606,S2,0.26309373144244735,0.3869565217391304,151,0.328404633006162,0.4956140350877193,156
XLM-R XGB,606,S2,0.25973193758055396,0.41739130434782606,151,0.27653521802128617,0.46790890269151136,156
IndoBERT LR,606,S2,0.3714619270383795,0.43790849673202614,151,0.2731150876090737,0.45368620037807184,156
IndoBERT XGB,606,S2,0.29323504856244104,0.4720720720720721,151,0.26228757611940995,0.47755834829443444,156
IndoBERT Hybrid,606,S2,0.38256179704409465,0.44878048780487806,151,0.27425695552011337,0.4606946983546618,156
