cfg,seed,setting,macro_f1_sun,micro_f1_sun,n_test_sun,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind,label,avg_macro_f1
A6,101,S1,0.40402986586470163,0.5969387755102041,226,0.3468406593406594,0.44642857142857145,31,0.4625701459034793,0.5,32,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.4044802237029468
A2b,101,S1,0.3847731400468796,0.5732814526588845,226,0.35888331940963525,0.47863247863247865,31,0.4685572986718997,0.5217391304347826,32,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.4040712527094716
A2c,101,S1,0.3713258363909901,0.5514705882352942,226,0.33387799564270154,0.43478260869565216,31,0.5033656525262803,0.5416666666666666,32,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.402856494853324
A0,202,S1,0.22736034376918357,0.6336996336996337,226,0.205982905982906,0.34285714285714286,31,0.20304920304920304,0.4594594594594595,32,A0  base: LR on raw embeddings,0.21213081760043087
A1,202,S1,0.3572398260840391,0.5863708399366085,226,0.3770725461901932,0.3956043956043956,31,0.3258208758208758,0.45544554455445546,32,A1  + StandardScaler,0.353377749365036
A2,202,S1,0.34576663104874444,0.5808477237048666,226,0.3912907268170425,0.4835164835164835,31,0.44903546745652007,0.5625,32,A2  + PCA (95% variance),0.3953642751074357
A3,202,S1,0.23074074074074077,0.6311926605504588,226,0.1623931623931624,0.30985915492957744,31,0.1726190476190476,0.43037974683544306,32,A3  XGBoost replaces LR,0.18858431691765024
A4,202,S1,0.34507072272613243,0.5925925925925926,226,0.3750221513379408,0.4418604651162791,31,0.4037433155080214,0.5274725274725275,32,A4  + cost-sensitive weighting,0.37461206319069823
A5,202,S1,0.3443814950359936,0.5928338762214984,226,0.35693869335173684,0.4418604651162791,31,0.42804232804232806,0.5531914893617021,32,A5  + hybrid ensemble XGB+LR,0.3764541721433528
A6,202,S1,0.3667620297372307,0.5831202046035806,226,0.4675232175232175,0.5172413793103449,31,0.4375162828925112,0.5255474452554745,32,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.42393384338431983
A2b,202,S1,0.39471798734823116,0.587012987012987,226,0.41703703703703704,0.46846846846846846,31,0.43704530763354293,0.5378151260504201,32,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.41626677733960377
A2c,202,S1,0.38058175623072615,0.5777262180974478,226,0.449722791828055,0.5573770491803278,31,0.4753324753324753,0.5826771653543307,32,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.4352123411304188
