cfg,seed,setting,macro_f1_sun,micro_f1_sun,n_test_sun,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind
IndoBERT Hybrid,77,S1,0.3733190884805207,0.5997521685254027,226,0.24097935470484488,0.3448275862068966,31,0.44920634920634916,0.5636363636363636,32
ME-XBAL,101,S1,0.3847731400468796,0.5732814526588845,226,0.35888331940963525,0.47863247863247865,31,0.4685572986718997,0.5217391304347826,32
ME-XBAL+XGB,101,S1,0.40402986586470163,0.5969387755102041,226,0.3468406593406594,0.44642857142857145,31,0.4625701459034793,0.5,32
XLM-R Hybrid,101,S1,0.37304765291607395,0.5896103896103896,226,0.34098907628319397,0.45901639344262296,31,0.4265494770929554,0.5378151260504201,32
XLM-R LR,101,S1,0.3721879132884826,0.5812417437252312,226,0.3478588405058993,0.4672897196261682,31,0.4554764959709546,0.5378151260504201,32
XLM-R XGB,101,S1,0.35986956587957186,0.589873417721519,226,0.30483716475095785,0.42857142857142855,31,0.44218281718281727,0.5161290322580645,32
IndoBERT LR,101,S1,0.3724827804612018,0.5970937912813739,226,0.37749505928853755,0.5,31,0.3645833333333333,0.46938775510204084,32
IndoBERT XGB,101,S1,0.35827332220427316,0.6171875,226,0.3241758241758242,0.4838709677419355,31,0.4765820599153932,0.5573770491803278,32
IndoBERT Hybrid,101,S1,0.35076033150099367,0.6041666666666666,226,0.3726826826826826,0.5081967213114754,31,0.38207570207570213,0.4752475247524752,32
ME-XBAL,202,S1,0.39471798734823116,0.587012987012987,226,0.41703703703703704,0.46846846846846846,31,0.43704530763354293,0.5378151260504201,32
ME-XBAL+XGB,202,S1,0.3667620297372307,0.5831202046035806,226,0.4675232175232175,0.5172413793103449,31,0.4375162828925112,0.5255474452554745,32
XLM-R Hybrid,202,S1,0.40369125186048166,0.610608020698577,226,0.440980315980316,0.49056603773584906,31,0.48316498316498313,0.6,32
XLM-R LR,202,S1,0.37776796575705723,0.5970937912813739,226,0.40898453398453394,0.47058823529411764,31,0.484160316616457,0.603448275862069,32
XLM-R XGB,202,S1,0.36603768244385115,0.6169405815423514,226,0.32644952644952646,0.5087719298245614,31,0.4680660595770952,0.5964912280701754,32
IndoBERT LR,202,S1,0.3832449547759847,0.5873221216041398,226,0.4899140211640211,0.4827586206896552,31,0.3769776876267749,0.46808510638297873,32
IndoBERT XGB,202,S1,0.37455001045916303,0.6145404663923183,226,0.25578391458609245,0.453781512605042,31,0.365565649075104,0.44036697247706424,32
IndoBERT Hybrid,202,S1,0.3982906602938708,0.6171284634760705,226,0.37000962000961996,0.45112781954887216,31,0.4200878012023523,0.5192307692307693,32
ME-XBAL,303,S1,0.33162801253913954,0.5733695652173914,226,0.35766426135671664,0.4444444444444444,32,0.38094905094905096,0.4827586206896552,32
ME-XBAL+XGB,303,S1,0.37143752919460565,0.5997392438070405,226,0.41918771660150966,0.484375,32,0.4096861471861472,0.4915254237288136,32
XLM-R Hybrid,303,S1,0.3437047407859952,0.5902964959568733,226,0.3287220026350461,0.41935483870967744,32,0.3363759996752324,0.44036697247706424,32
XLM-R LR,303,S1,0.3400329209289284,0.5923836389280677,226,0.3372574955908289,0.42592592592592593,32,0.3537037037037037,0.45544554455445546,32
XLM-R XGB,303,S1,0.3244324958417905,0.5973333333333334,226,0.3116542664496629,0.4745762711864407,32,0.3548130881464215,0.44642857142857145,32
IndoBERT LR,303,S1,0.4234605564713924,0.6257982120051085,226,0.4231701940035273,0.46875,32,0.37561305884360907,0.48484848484848486,32
IndoBERT XGB,303,S1,0.40824908177849345,0.6206030150753769,226,0.3870875838617775,0.4696969696969697,32,0.262962962962963,0.3963963963963964,32
IndoBERT Hybrid,303,S1,0.39829761912838024,0.6471371504660453,226,0.3903093883357041,0.46616541353383456,32,0.360426267281106,0.47368421052631576,32
ME-XBAL,404,S1,0.42684950077175726,0.5878048780487805,226,0.4084856734474731,0.4369747899159664,31,0.45660578158726367,0.515625,32
ME-XBAL+XGB,404,S1,0.43154762542888486,0.6067961165048543,226,0.38076742658786,0.4838709677419355,31,0.5386415827592298,0.556390977443609,32
XLM-R Hybrid,404,S1,0.4108569894331304,0.6268260292164675,226,0.3631506301986851,0.43636363636363634,31,0.5115520282186948,0.5769230769230769,32
XLM-R LR,404,S1,0.40929384147579567,0.6089238845144357,226,0.370383855691202,0.411214953271028,31,0.3959851065114222,0.5102040816326531,32
XLM-R XGB,404,S1,0.3474747527702326,0.6310299869621904,226,0.4043859649122807,0.5128205128205128,31,0.4023569023569024,0.5263157894736842,32
IndoBERT LR,404,S1,0.44708449962859503,0.6053921568627451,226,0.3598842018196857,0.43902439024390244,31,0.4529830735713089,0.49557522123893805,32
IndoBERT XGB,404,S1,0.47637318526735634,0.6444444444444445,226,0.34124923923685535,0.43661971830985913,31,0.4913308913308913,0.5084745762711864,32
IndoBERT Hybrid,404,S1,0.4280241194862102,0.6418485237483954,226,0.34305125558995525,0.4305555555555556,31,0.5159349077537042,0.544,32
ME-XBAL,505,S1,0.3757237567352821,0.5728395061728395,226,0.41462616462616464,0.45614035087719296,31,0.4308043865319407,0.532258064516129,32
ME-XBAL+XGB,505,S1,0.38288422694323804,0.5938650306748466,226,0.43747995512701393,0.46875,31,0.4515888523241465,0.4915254237288136,32
XLM-R Hybrid,505,S1,0.38852407579466824,0.6055979643765903,226,0.405963105963106,0.4727272727272727,31,0.41550046389737555,0.5043478260869565,32
XLM-R LR,505,S1,0.3790477669840952,0.5947368421052631,226,0.4181253529079616,0.48936170212765956,31,0.3643482468301869,0.4642857142857143,32
